time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry1,Entry2,EMA 15,Armed,K,D,%R,%R
1753077240,151.75,151.75,149,150.25,NaN,NaN,150.0927824793344,NaN,0,0,155.7371022703941,0,2.8013170621042462,4.647274907984277,-90.38461538461539,-94.41964285714285
1753077300,150.6,153.55,150.6,152.35,NaN,NaN,150.0927824793344,NaN,0,0,155.31371448659485,0,8.342514952338322,4.648383025515615,-73.9299610894942,-85.04464285714289
1753077360,152.2,153.2,151,151.7,NaN,NaN,150.0927824793344,NaN,0,0,154.8620001757705,0,14.65421943116574,8.599350481869447,-75.45454545454555,-87.94642857142863
1753077420,151.75,155.65,150.9,152.3,NaN,NaN,150.0927824793344,NaN,0,0,154.5417501537992,1,23.498939910871453,15.498558098125182,-64.13043478260853,-85.2678571428571
1753077480,152,153.85,149.4,153.85,NaN,NaN,150.0927824793344,NaN,1,0,154.4552813845743,1,30.554836034709385,22.902665125582203,-44.57142857142863,-78.34821428571432
1753077540,153.1,153.45,148,149,146.1575,NaN,NaN,163.1934330062913,0,0,153.7733712115025,0,24.24313155588197,26.09896916715428,-89.247311827957,-95.72649572649573
1753077600,148.85,153.5,148.85,152.25,146.1575,NaN,NaN,163.1934330062913,0,0,153.5829498100647,0,32.78076215738333,29.192909915991574,-44.444444444444485,-81.83760683760684
1753077660,151.35,153.2,151,153.2,146.1575,NaN,NaN,163.1934330062913,0,0,153.5350810838066,0,46.44405178115892,34.48931516480808,-32.02614379084987,-77.77777777777784
1753077720,153.6,155.85,153.2,153.3,146.1575,NaN,NaN,163.1934330062913,0,0,153.50569594833078,0,76.19517666463689,51.80666353439306,-32.484076433120826,-77.35042735042731
1753077780,153.05,155.25,150.6,155.1,NaN,147.12892424163314,NaN,163.1934330062913,0,0,153.70498395478944,0,92.14615891676313,71.59512912085299,-9.554140127388543,-69.65811965811969
1753077840,154.45,156.7,154.4,156.25,NaN,149.04513939330653,NaN,163.1934330062913,0,0,154.02311096044076,0,96.41779155014463,88.25304237718156,-5.172413793103324,-64.74358974358975
1753077900,156,156.7,152,152.1,NaN,149.04513939330653,NaN,163.1934330062913,0,0,153.78272209038568,0,81.18960413401788,89.9178515336419,-52.87356321839081,-82.4786324786325
1753077960,151.95,152.8,150,150,NaN,149.27728921171618,NaN,162.8648014296497,0,0,153.30988182908746,0,54.114739672794336,77.2407117856523,-77.01149425287353,-91.45299145299145
1753078020,150,150.85,146.05,149.4,NaN,NaN,NaN,160.2083212866847,0,0,152.82114660045153,0,24.7195581153529,53.34130064072172,-68.54460093896712,-85.40305010893249
1753078080,148.8,149.7,142.3,143.45,NaN,NaN,NaN,158.80248915801624,0,0,151.64975327539508,0,10.196620648001685,29.67697281204965,-92.01388888888903,-95.13742071881616
1753078140,142.8,145,140.8,142.8,NaN,NaN,NaN,155.68224024221462,0,0,150.54353411597071,0,3.9381517758919067,12.951443513082177,-87.42138364779872,-92.04771371769382
1753078200,143.3,145.4,141.8,142.35,NaN,NaN,NaN,155.68224024221462,0,0,149.51934235147436,0,-1.7763568394002505e-15,4.711590807964545,-90.25157232704413,-92.68867924528308
1753078260,143.85,144.5,140.25,140.55,NaN,NaN,NaN,154.97561459619382,0,0,148.39817455754007,0,-1.7763568394002505e-15,1.3127172586306493,-98.176291793313,-98.62068965517237
1753078320,139.35,139.35,127.8,129.9,NaN,NaN,NaN,148.74055313657445,0,0,146.08590273784756,0,-1.7763568394002505e-15,1.3026616822268503e-14,-92.73356401384079,-93.859649122807
1753078380,130.4,130.4,121.35,123.7,NaN,NaN,NaN,142.238997822917,0,0,143.28766489561662,0,-1.7763568394002505e-15,1.3026616822268503e-14,-93.35219236209333,-94.21894218942187
1753078440,123.7,130.5,123.7,127.2,NaN,NaN,NaN,142.238997822917,0,0,141.27670678366454,0,6.643837330021301,2.2146124433404473,-81.39904610492844,-85.55555555555553
1753078500,126.45,129.55,125.05,128.2,NaN,NaN,NaN,142.238997822917,0,0,139.64211843570646,0,15.113814704277011,7.252550678099452,-76.77966101694916,-82.27684346701166
1753078560,128,133.35,127.65,132.2,NaN,NaN,NaN,142.238997822917,1,0,138.71185363124314,1,30.5043232215817,17.420658418626687,-61.728395061728406,-70.55630936227952
1753078620,131.95,131.95,128.1,130.1,121.35,NaN,NaN,142.238997822917,0,0,137.63537192733776,0,37.47705501048053,27.69839764544643,-63.617463617463635,-75.96153846153847
1753078680,130,130.2,123.65,123.65,121.35,NaN,NaN,142.238997822917,0,0,135.88720043642053,0,40.234653237500204,36.07201048985416,-90.4365904365904,-93.60222531293459
1753078740,124.9,126.8,122.5,125.85,121.35,NaN,NaN,140.73822396700885,0,0,134.63255038186796,0,42.73757491771253,40.1497610552311,-80.56155507559396,-87.27015558698727
1753078800,126.35,129.2,124.95,128.75,121.35,NaN,NaN,140.73822396700885,0,0,133.89723158413446,0,54.461419240025826,45.81121579841287,-58.888888888888864,-79.06647807637906
1753078860,128.5,131.6,128.3,130.5,121.35,NaN,NaN,140.73822396700885,0,0,133.47257763611765,0,76.56717697208377,57.92205704327406,-23.749999999999954,-74.1159830268741
1753078920,130.8,131.55,128.6,129.75,121.35,NaN,NaN,140.73822396700885,0,0,133.00725543160294,0,90.7674515059927,73.93201590603411,-33.179723502304114,-76.23762376237623
1753078980,129.9,133.9,129.6,133.9,NaN,126.63285060039433,NaN,140.73822396700885,0,0,133.11884850265258,0,98.7603713980926,88.69833329205636,0,-64.49787835926446
1753079040,133.35,133.35,131.05,132.3,NaN,127.06028048031547,NaN,140.73822396700885,0,0,133.016492439821,0,96.39788181665726,95.30856824024754,-14.035087719298188,-69.02404526166897
1753079100,132.5,140.95,132.5,139.3,NaN,130.7142243842524,NaN,140.73822396700885,0,0,133.8019308848434,0,97.63751041856466,97.59858787777152,-8.943089430894192,-49.22206506364917
1753079160,140.45,140.7,137.55,138.75,NaN,131.29737950740193,NaN,140.73822396700885,0,0,134.42043952423796,0,96.93217955118729,96.98919059546976,-11.924119241192358,-50.77793493635075
1753079220,139.4,139.85,136.65,139.05,NaN,131.74590360592154,NaN,140.73822396700885,0,0,134.9991345837082,0,98.89147308269874,97.82038768415025,-10.298102981029693,-49.929278642149875
