time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,EMA,Up Trend,Down Trend,K,D,%R,%R.1,datetime
1750826760,25175.7,25182.65,25173.2,25182.4,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25186.06938097324,,25196.474787271087,17.025893961324794,8.598476365131772,-58.94736842105263,-72.87899860917722,2025-06-25 10:16:00
1750826820,25181.9,25189.4,25181.9,25188.1,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25186.323208351583,,25196.474787271087,38.565799708559815,19.770309448125435,-28.801843317976218,-57.02364394993508,2025-06-25 10:17:00
1750826880,25190.1,25193.55,25189.1,25191.65,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25186.989057307634,,25196.474787271087,61.49991273788616,39.030535469256925,-12.442396313352312,-47.148817802499195,2025-06-25 10:18:00
1750826940,25192.1,25193.35,25189.55,25190.5,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25187.42792514418,,25196.474787271087,74.21240569303524,58.09270604649373,-14.593301435404742,-50.34770514603619,2025-06-25 10:19:00
1750827000,25191.0,25200.75,25188.5,25200.65,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25189.08068450116,25172.448233864296,,86.00583327913354,73.90605057001831,-0.3558718861158362,-22.114047287893555,2025-06-25 10:20:00
1750827060,25199.7,25200.5,25196.05,25197.65,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25190.151848938513,25176.935910477867,,89.50716965891293,83.24180287702724,-11.032028469746283,-30.458970792762106,2025-06-25 10:21:00
1750827120,25199.55,25201.3,25196.5,25200.65,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25191.464117821197,25178.254819430083,,94.77863684679323,90.09721326161323,-2.268760907496917,-22.114047287893555,2025-06-25 10:22:00
1750827180,25200.75,25206.0,25200.75,25205.8,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25193.256103093547,25183.18933748707,,94.77863684679323,93.0214811174998,-0.5997001499272453,-7.788595271208621,2025-06-25 10:23:00
1750827240,25206.2,25207.2,25202.85,25204.65,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25194.680340206854,25185.552903738368,,97.28985789300876,95.61571052886508,-7.49999999999786,-10.987482614735493,2025-06-25 10:24:00
1750827300,25205.45,25207.25,25203.3,25205.2,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25195.995297681,25186.56511336453,,97.34445019913748,96.47098164631318,-8.086785009859527,-9.457579972178282,2025-06-25 10:25:00
