time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry,SMA 21,%R,%R,K,D
1752219660,191.95,192.1,188.2,189.3,NaN,186.37800000000001,182.1788350540209,NaN,0,187.6564991056256,-62.198391420911484,-32.768361581920885,51.22616684894652,75.41293128141048
1752219720,188.95,191.45,188.95,189.6,NaN,186.37800000000001,182.1788350540209,NaN,0,187.89943671742242,-60.58981233243972,-38.04713804713806,25.030981682230486,51.39494609021748
1752219780,188.7,190.8,188.2,189.55,NaN,186.37800000000001,182.1788350540209,NaN,0,188.10575712774462,-62.19178082191778,-38.21548821548818,20.79583946777765,32.35099599965154
1752219840,189.1,190.5,186.9,187.1,NaN,186.37800000000001,182.1788350540209,NaN,0,187.98003748677655,-82.88288288288292,-46.46464646464648,15.690456993765375,20.50575938125783
1752219900,186.9,190.4,186.65,190.35,NaN,186.37800000000001,182.1788350540209,NaN,0,188.2762828009295,-72.26027397260285,-37.14788732394369,16.323925803701115,17.603407421748045
1752219960,191.1,193.05,190.35,191.85,NaN,186.37800000000001,182.1788350540209,NaN,0,188.7229974508133,-63.50877192982464,-34.541984732824446,19.767718791138204,17.260700529534898
1752220020,191.75,192.2,188.8,189.8,NaN,186.37800000000001,182.1788350540209,NaN,0,188.85762276946164,-77.89473684210523,-43.96039603960394,23.80874625157308,19.96679694880413
1752220080,189.55,189.55,183.7,184.1,NaN,NaN,182.1788350540209,NaN,0,188.26291992327893,-97.58308157099694,-66.53465346534658,16.037129275020032,19.871198105910437
1752220140,185,186.2,184.2,185.6,NaN,NaN,182.1788350540209,NaN,0,187.93005493286907,-79.67914438502673,-61.44578313253015,8.22747172445367,16.024449083682256
1752220200,187.15,190.4,187,190.4,NaN,NaN,182.1788350540209,NaN,0,188.23879806626044,-28.342245989304804,-50.480769230769205,13.009495341070897,12.42469878018153
1752220260,190.5,191.8,189,189,NaN,NaN,182.1788350540209,NaN,0,188.3339483079779,-43.31550802139039,-57.21153846153845,20.89527078563377,14.044079283719446
1752220320,189.3,189.35,183.45,184.9,NaN,NaN,182.1788350540209,NaN,0,187.90470476948065,-84.89583333333319,-76.92307692307688,19.43980813835963,17.781524755021433
1752220380,185.2,186.5,184.4,185.55,NaN,NaN,182.1788350540209,NaN,0,187.61036667329557,-78.12499999999982,-73.79807692307686,14.375592502638776,18.23689047554406
1752220440,186,189.75,185.95,188.1,NaN,NaN,182.1788350540209,NaN,0,187.67157083913364,-51.56250000000006,-61.53846153846156,22.342022726223885,18.719141122407432
1752220500,188.6,189.35,187,187,178.695,NaN,182.1788350540209,NaN,0,187.58762448424193,-59.428571428571296,-71.83462532299745,32.372625304829825,23.0300801778975
1752220560,186.95,187.05,183.1,183.65,178.695,NaN,182.1788350540209,NaN,0,187.09542142371168,-93.6781609195401,-89.14728682170545,27.08736189470649,27.26733664192007
1752220620,184.4,184.95,182.65,183.3,178.695,NaN,182.1788350540209,NaN,0,186.62099374574774,-92.89617486338793,-90.9560723514212,11.235156226558514,23.56504780869828
1752220680,183.65,185.95,183.3,185.9,178.695,NaN,182.1788350540209,NaN,0,186.53086952752926,-64.48087431693992,-80.42895442359247,10.915679687909204,16.41273260305807
1752220740,186.55,190.85,186.55,190,178.695,NaN,182.1788350540209,NaN,0,186.9645108365881,-19.672131147541094,-58.44504021447722,36.96031177243855,19.703715895635426
1752220800,189.3,189.3,185.85,186.45,178.695,NaN,182.1788350540209,NaN,0,186.90019698201456,-53.658536585366,-77.47989276139418,52.66295429909505,33.51298191981427
1752220860,187,190.95,186.85,190.1,178.695,NaN,182.1788350540209,NaN,0,187.30017235926275,-10.24096385542164,-57.90884718498664,73.56928756308542,54.397517878206344
1752220920,189.3,190.25,187.85,189.25,178.695,NaN,182.1788350540209,NaN,0,187.5439008143549,-20.48192771084328,-63.83561643835619,75.06872266403649,67.10032150873899
1752220980,188.7,190.7,188.55,189.55,178.695,NaN,182.1788350540209,NaN,0,187.79466321256055,-16.867469879517834,-62.19178082191778,88.29031515286579,78.9761084599959
1752221040,189.3,193.8,189.3,193.8,178.695,NaN,182.1788350540209,NaN,0,188.5453303109905,0,-38.90410958904106,89.80163553429952,84.38689111706726
